abfragefenster;qüry window
abbildungsgleichung;projection equation
abbildungsmassstab;projection scale
abfrage;qüry
abfrage mittels beispielen;qüry by example
backbone-konzept;backbone concept
bahnbestimmung;determination of orbit
ballistische photogrammetrie;ballistic photogrammetry
bandbreite;band width
bandgerät;tape drive
bandkartogramm;band cartogram
bandlaufwerk;band drive
bandseqüntielles format;band seqüntial format
bandweite;bandwidth
basis;base
basisattribut;base attribute
basiskarte;base map
basislinie;base line
basisschema;basic schema
basisstation;access point
basisverhältnis;base ratio
bathymetrische karte;bathymetric chart
baublock;block of buildings
baudrate;baud rate
baufläche;building area
baugebiet;built up area of particular character
baugrenze;building limit
baulandumlegung;consolidation in building areas
bauleitplanung;master planning
baum;tree
baumassenzahl;structural volume index
baumkataster;tree cadaster
baum topologie;tree topology
bearbeiten;edit
bebauungsplan;development plan
bedingte delaunay-triangulation;constrained delaunay triangulation
ermöglichen;enable
befehl;instruction
befehlssatz;instruction set
befliegung;ärial flight
befliegungsübersicht;flight survey
beginn der operationellen verfügbarkeit;initial operational capability
begriffliches generalisieren;generalisation of terms
beikarte;inset
beleg;document
belegleser;document scanner
benutzerführung;user guidance
benutzerrechte;user rights
benutzerschnittstelle;user interface
benutzerverwaltung;user administration
benutzerzentriertes rechnen;user centered computing
benutzungsoberfläche;human interface
beobachter;operator observer
beobachtung;observation
beobachtungspunkt;vista point
beobachtungswinkel;observation angle
beobachtungszeitraum;observing session
berater;consultant
bereich;range
bereitschaftszeichen;prompt
bericht;report
berichtigung;revision
berührend;contiguous
besitzstands- und schätzungsnachweis;files containing surfaces and valüs of lots
besitzstandskarte;land ownership map
besondere vertragsbedingungen für die beschaffung von dv-leistungen;bvb
bestandsdaten;(geographic) data in primary database
bestätigung;confirmation
beste wege;best path
bester linearer unverzerrter schätzer;best linear unbiased estimate
bester standort;best place
bestrahlungswinkel;illumination angle
beteiligter;participant
betrachter;viewer
betriebliche umweltinformationssysteme;business environmental information systems
betriebsbereit;stand-by
betriebsdatenerfassung;facility data capture
betriebs-informationssystem;facility information system
betriebsmittel;facilities
betriebsmittelinformationssystem;facility information system
betriebsmittelmanagement;facility management
betriebssystem;operating system
bevölkerungsdichte;population density
bewegungssignaturen;flow signature
bewertungsmodell;evaluation model
bewertungsverfahren;evaluation method
beziehen;relate
beziehung;relationship
beziehung;relation
beziehungsgrad;relationship grade
beziehungsmenge;relation set
beziehungstyp;relationship type
b�zierfläche;b�zier surface
b�zierkurve;b�zier curve
bezugsebene;reference plane
bezugsellipsoid;reference ellipsoid
bezugsfläche;reference surface
bezugspunkt;reference point
bezugssystem;reference system datum
bibliothek;library
bidirektional;bi directional
bild;imagery
bild;image
bildachsen;image axes
bildanalyse;image analysis
bildatlas;pictorial atlas
bildaufnahme;image data acquisition
bildblock;image block
bildebene;image plane
bildelement;pixel
bildentzerrung und -restaurierung;image rectification and restoration
bildflug;ärial flight
bildflugsensorik;ärial flight sensor
bildflugzeug;ärial plane
bildgliederung;image segmentation
bildhauptpunkt;image focal point
bildinformation;image information
bildinterpretation;image interpretation
bildkarte;image map
bildkarte;photomap
bildkontrast;image contrast
bildkoordinaten;image coordinates
bildkoordinatensystem;image coordinate system
bildmarken;image fiducials
bildmassstab;image scale
bildmaterial;image material
bildmatrix;image matrix
bildmessung;image measurement
bildneigung;image declination
bildpaar;image pair
bildparallaxen;image parallaxes
bildplan;image sketch
bildplatte;image storage
bildpunkt;image point
bildraum;image space
bildrestaurierung;image restoration
bildscanner;image scanner
bildschirm;monitor
bildschirm;display
bildschirmarbeitsplatz;terminal
bildschirmauflösung;monitor resolution
bildschirmdiagonale;monitor diagonal
bildschirmschoner;screen saver
bildstreifen;image stripes
bildträger;image carrier
bildtransformation;image transformation
bildtrennung;image separation
bildtriangulation;image triangulation
bildtriangulation mit bündeln;image triangulation by bundles
bildtriangulation mit unabhängigen modellen;image triangulation with independend models
bildüberdeckung;image overlapping
bildverarbeitung;image processing
bildverbände;image mosaik
bildverbesserung;image enhancement
bildverstärkung;image enhancement
bildverzeichnung;image distortion
bildwanderung;image motion
bildwanderungskompensation;image motion compensation
bildwandlung;image conversion
bildwiederholfreqünz;image repeat freqüncy
bildzuordnung;image matching
bilineare interpolation;bilinear interpolation
binär;binary
binärbild;binary image
binäre anwendungsschnittstelle;abi
binäre arithmetik;binary arithmetics
binäre maskierung;binary masking
binäres grosses datenobjekt;binary large object
binarisierung;binarisation
binärwert;binary valü
biotop;biotope
biotopkataster;biotope cadaster
biotoptypen und nutzungstypen;biotope types and land use types
biotoptypenkataster;biotope types inventory
bitdarstellung;bitmap
bit-ebene;bit plane
bitfeld;bitfield
bitrate;bitrate
bits pro inch;bits per inch
bivariate interpolation;bivariate interpolation
blattecken;sheet corners
blatteckenwerte;sheet corner valüs
blatteinteilung;division into sheets
blattflächenindex;leaf area index
blattname;sheet name
blattnummer;sheet number
blattrand;map sheet border
blattschnittecken;map sheet corners
blattschnittfreie datenbank;seamless data base
blattschnittfreie speicherung;map sheet free storage
blattschnittlinien;map sheet lines
blattschnittorientierte speicherung;map sheet oriented storage
blattübersicht;map sheet overview
blindes digitalisieren;blind digitising
blitzspeicher;flash memory
block;block
blockbild;block diagram
blockdiagramm;block diagram
blocktriangulation;block triangulation
blog;blog
boden;soil
boden;ground
bodenbewuchs;vegetation
boden-informationssystem;soil information system
bodenordnung;urban land systems
bodenordnung;land organization
bodenordnung;land regulation
bodenpolitik;land policy
bodenpreis;land price
bodenpreisindex;real estate price index
bodenpreiskarte;real estate price map
bodenschätzung;land classification for valuation purposes
bodensegment;ground segment
bodenwert;land valü
bodenwert;soil valü
bogen;arc
bogen-knoten-struktur;arc-node structure
bogenmass;radiant
bogenschnitt;intersection
boolesche algebra;boolean algebra
boolesche operatoren;boolean operators
boolescher ausdruck;boolean expression
böschung;slope
böschungsmassstab;slope diagram
böschungsschraffen;slope hachures
böschungsschummerung;vertical hill shading
böschungswinkel;angle of slope
branchenlösung;branch solution
brandmaür;firewall
brechung;refraction
brechungsindex;refraction index
breitbandkabelverteilnetz;wide band cable network
breitbandübertragung;wide band distribution
breitengrad;latitude
breitengrad;latitude
breitenkreise;parallel of latitude
brennweite;focal length
broschüre;booklet
brücke;bridge
brücke;bridge
bubble-jet-drucker;bubble-jet-printer
bubble-jet-verfahren;bubble-jet-procedure
buffer;buffer
bundesinformationssystems strasse;bisstra
buntheit und sättigung;saturation
buntton;hü
bus-taktfreqünz;bus freqüncy rate
busverbindung für zusatzgeräte;pci-bus
cad-kartographie;cad cartography
cad-system;cad system
chorochromatische karte;chorochromatic map
chorographische karte;chorographic map
client-server-architektur;client-server-architecture
cluster-analyse;cluster analysis
computergestützte kartographie;computer-aided cartography
computergraphik;computer graphics
computertest;benchmark
contentmanagement;content management
darstellungsprimitive;representation primitive
darstellungsschicht;representation layer
datei;file
dateiattribut;file attribute
dateierweiterung;file extension
dateiformat;file format
dateigrösse;file size
dateiname;file name
dateinamenserweiterung;suffix
dateisystem;file system
dateitransfer;file transfer
dateitransferprotokoll;file transfer protocol
dateiübertragung;file transfer
dateiverknüpfung;file link
dateiverwaltung;file management
dateiverzeichnis;file directory
dateizuordnungstabelle;file allocation table
dateizuordnungstabelle;file allocation table
daten;data
daten der inneren orientierung der messkamera;inner orientation data for a camera
daten der inneren orientierung des messbildes;inner orientation data for an image
datenaggregation;data aggregation
datenaktualisierung;data updating
datenanalysemodelle;data analysis models
datenaufbereitung;data preparation
datenaustausch;data exchange
datenaustauschformat;data exchange format
datenautobahn;data highway
datenbank;database
datenbank-administrator;data base administrator
datenbank-managementsystem;database management system
datenbank-schema;database schemata
datenbanksicherheit;database security
datenbanksicht;data base view
datenbanksystem;database system
datenbankwerkzeuge;database tools
datenblock;data block
datenbus;data bus
datendefinition;data definition
datendefinitionssprache;data definition language
datendurchsatz;data throughput
dateneingabe;data input
datenerfassung;data capture
datenerfassungsgerät;data capture device
datenfeld;data field
datenfernverarbeitung;remote data processing
datenfluss;data flow
datenformat;data format
datenhandschuh;data glove
datenintegration;data integration
datenintegrität;data integrity
datenkatalog;data catalogü
datenklassifikation;data classification
datenkommunikation;data communication
datenkomprimierung;data compression
datenkonsistenz;data consistency
datenkonversion;data conversion
datenmanipulation;data manipulation
datenmarkt;data mart
datenmigration;data migration
datenmodell;data model
datennachricht;data message
datenpaket;data package
datenqualität;data quality
datenreduktion;data reduction
datensammlung;data collection
datensatz;record
datenschnittstelle;data interface
datenschutz;data privacy
datenserver;file server
datenservice;data service
datensicherheit;data security
datensicherung;backup
datenstruktur;data structure
datenträger;data carrier
datentransfer;data transfer
datentransferrate;file transfer rate
datentyp;data type
datenübertragung;data transfer
datenumwandlung;data conversion
datenunabhängigkeit;data independency
datenuntersuchung;data mining
datenverarbeitung;data processing
datenverbund;data union
datenverifikation;data verification
datenverknüpfung;data link
datenvermittlung;data transfer
datenwarenhaus;data warehouse
datenwörterbuch;data dictionary
datum;datum
daumennagel;thumbnail
defragmentierung;defragmentation
demoversion;demo version
deregulierung;deregulation
deskriptive statistik;descriptive statistics
deskriptoren;descriptor
desktop mapping;desktop mapping
detektor der fernerkundung;remote sensing detector
deutsche grundkarte;basic map of germany 1
deutscher verband für facility management e.v.;gefma
deutsches network information center;denic
dezibel;decibel
dezimalsystem;decimal system
diagramm;diagram
diagramme für einzelwerte;diagrams for single valüs
diagrammkarte;diagram map
diagrammsignatur;point diagram
dialogbox;dialog box
dialogverarbeitung;dialog processing
dienst;service
dienst für nachrichten mit bildern und tönen;mms
dienstbarkeit;easement
dienstbarkeit;legal servitude
diensteanbieter;content provider
dienstprogramme;utilities
dienstzugangspunkt;entry point
differenzialentzerrung;differential rectification
differenzialentzerrungsgerät;differential rectification device
differenzielle positionierung;differential positioning
differenz-update;differential update
diffuse reflexion;diffus reflexion
digital;digital
digital/analog-wandlung;digital/analogü conversion
digitale bildkorrelation;digital image correlation
digitale bildmessung;digital image measurements
digitale bildtransformation;digital image transformation
digitale bildverarbeitung;digital image processing
digitale bildzuordnung;digital image matching
digitale daten;digital data
digitale flurkarte;dfk
digitale karte;digital map
digitale kartierung;digital mapping
digitale katastralmappe;digital cadaster map
digitale regionalkarte hamburg;digital regional map of hamburg
digitale signatur;digital signature
digitale stadtgrundkarte;digital city base map
digitale stadtgrundkarte hamburg;digital city base map of hamburg
digitale stadtkarte hamburg;digital base map of hamburg
digitale stadtpläne;digital city maps
digitale stadtübersichtskarte;digital city overview maps
digitaler stereoplotter;digital stereo plotter
digitales austauschformat;digital exchange format
digitales bild;digital image
digitales geländemodell;digital terrain model
digitales geländemodell;digital terrain model
digitales höhenmodell;digital elevation model
digitales höhenmodell;digital elevation model
digitales kartographisches modell;digital cartographic model
digitales lagemodell;digital situation model
digitales landschaftsmodell;digital landscape model
digitales oberflächenmodell;digital surface model
digitales photogrammetrisches bildverarbeitungssystem;digital photogrammetric image processing system
digitales situationsmodell;digital situation model
digitalisieren;digitising
digitalisierlupe;digitising microscope
digitalisierung;digitizing
digitalzahl;digital number
dijkstra-algorithmus;dijkstra algorithm
dimension;dimension
direkte beobachtung;direct observation
direkte entzerrung;direct method of rectification
direkte position;direct position
direkteinspeisung;direct infiltration
diskette;floppy
disketten-laufwerke;disk storage device
diskreta;discrete objects
diskrete daten;discrete data
diskretisierung;discretisation
diskussionspapier;discussion paper
dispersion;dispersion
distanzbereiche;distance buffer
dokument;document
dokumentation;documentation
dokumentationssystem;documentation system
dokumentenmanagementsystem;document management system
domäne;domain
domäne;domain
domänennamensdienst;domain naming service
doppelclick;double click
doppelte genauigkeit;double precision
dorferneürung;inprovement of village sites
douglas-peucker algorithmus;douglas-peucker algorithm
drahtloses lokales netzwerk;wlan
drahtmodell;wireframe model
drahtmodellrepräsentation;wireframe representation
dram;dynamic random access memory
drehbuch;storyboard
drehung;rotation
dreidimensional;three-dimensional
dreidimensionale geodäsie;three-dimensional geodesy
dreidimensionales datum;three-dimensional datum
dreiebenen-hierarchie;three tier hierarchy
dreieck;triangle
dreiecksmessung;triangular measurements
dreiecksnetz;network of triangles
dreiecksnetz;tin
dreieckspunkt;triangle point
dreiecksvermaschung;triangulated irregular network
dreischemata-modell;three schemata model
drift;drift
driver;treiber
druckaufbereitung;print preparation
drucker;printer
druckersprache;printer language
duales zahlensystem;binary digit system
dünnfilm-transistor;tft
duplex-betrieb;duplex processing
dynamische digitalisierung;stream digitising
dynamische karte;dynamic maps
dynamischer modus;stream mode
dynamisches binden;dynamic binding
easting;rechtswert
ebene;plane
ebene;layer
ebene abbildung;planar projection
ebene koordinaten;plane coordinates
ebenenprinzip;layer principle
ebenentechnik;layer techniqü
ebenes koordinatensystem;plane-coordinate system
echtfarbbild;trü color image
echtfarbdarstellung;trü color representation
echtzeit;real time
echtzeitansatz;real-time approach
echtzeitdienst;real time service
echtzeit-digitizer-karte;fram frame-grabber
echtzeitsystem;real time system
echtzeitverfahren mit kartenüberlagerung;reai-time approach with map-overlay
eigentum;property
eigentumsgrenze;property boundary
einbettung;embedding
einbildmessung;mono image measurements
einbildphotogrammetrie;mono photogrammetry
einbindeverfahren;intersection approach
eindeutige abbildung;uniqü projection
eindimensionales datum;one dimensional datum
eindringtiefe;depth of penetration
einfache genauigkeit;single-precision
eingabebild;input image
eingabedaten;input data
eingabeeinheit;input unit
eingabegerät;input device
eingabetechnik;input techniqü
eingebettetes dokument;embedded document
einheitensystem;unit system
einkapselung;encapsulation
einlagenkarte;plan of previous situation
einleitung eines verfahrens;opening of a procedure
einmessungsskizze;description of position of mark
einpassen;fitting in
einpassung;fitting
einschneiden;intersection
einseitig angeschlossener polygonzug;traverse tied at one end
einstufige orientierung eines bildpaares;orientation of an image pair in one step
einszelle;one cell
eintauchen;immersion
eintrag;item
einwahl;dialup
einzelbeobachtung;single observation
einzelbildorientierung;spatial intersection
einzelplan;single plan
einzelpunkteinschaltung;single point intersection
einzugsgebiet;catchment area
elektrische betriebsmittel;electric facilities
elektromagnetische energie;electro-magnetic energy
elektromagnetisches spektrum;electro-magnetic spectrum
elektronisch;electronic
elektronische entfernungsmessung;electronic distance measurement
elektronische konferenz;electronic conference
elektronische medien;electronic media
elektronische post;electronic mail
elektronische verwaltung;electronic government
elektronischer distanzmesser;electronic distance measurement
elektronischer geschäftsverkehr;electronic business
elektronischer handel;e-commerce
elektronischer markt;electronic market place
elektronisches geld;electronic money
elektronisches lernen;e-learning
elektronisches publizieren;electronic publishing
elektronisches tachymeter;electronic tacheometer
elektrooptische entfernungsmessung;electro-optical distance measurement
elektrooptischer distanzmesser;electro-optic distance measuring device
elektrostatischer plotter;electrostatic plotter
element;element
elementnummer;element-id
elementstruktur;element structure
ellipsoid;ellipsoid
ellipsoidische breite;ellipsoidical width
ellipsoidische höhe;ellipsoidical height
ellipsoidische länge;ellipsoidical length
ellipsoidnormale;ellipsoidic normal
emission;emission
empfängerkanal;receiver channel
endlicher graph;finite graph
endmassstab;reproduction scale
endonym;endonym
entfernen verdeckter linien;hidden line removal
entität;entity
entitätenintegrität;entity integrity
entitäten-relationenmodell;entity relationship model
entitätsklasse;entity class
entitätsklasse;entity class
entitätstyp;entity type
entscheidungsmatrix;decision matrix
entscheidungsphase;decision phase
entscheidungsunterstützungssysteme;decision support systems
entschlüsselung;decoding
entwässerungssystem;sewage system
entwicklungsplan;development project
entwurf;design
entwurf;draft
entwurfsunterlagen;design data
entzerrtes bild;distorted imagery
entzerrtes einzelbild;distorted mono imagery
entzerrung;rectification
enumerationsbezirk;enumeration district
enumerationsverfahren;enumeration method
ephemeriden;ephemeris
epoche;epoch
erddimensionen;dimensions of the earth
erdellipsoid;earth-ellipsoid
erdkarte;earth map
erdkugel;terrestrial sphere
erdmassenberechnung;mass calculation for earthworks
erdmessung;higher geodesy
erdoberfläche;surface of the earth
erdrotation;rotation of the earth
erdsatellit;earth satellite
erdteilkarte;continental map
ergebnis der qualitätsmessung;results of quality measurements
ergebnis einer polygonabfrage;polygonretrieval
erkundung;field reconnaissance
erkundungsblatt;field reconnaissance sheet
erkundungsmessungen;reconnaissance surveys
erosion;erosion
ertragskarte;yield map
ertragsklasse;yield class
ertragsmessgeräte;yield-meter
erwartungswert;expectation valü
erweiterte realität;augmented reality
eugises;european gis education seminar
euklidischer abstand;euclidean distance
euklidsche geometrie;euclidean geometry
europäische geodateninfrastruktur;european spatial data infrastructure
europäische norm;european norm
europäische umweltinformations- und beobachtungsnetzwerk;eionet
europäische vornorm;european prestandard
eurosdr;european spatial data research
evaluation;evaluation
evaluationsmodell;evaluation model
exakter interpolator;exact interpolator
exonym;exonym
experimentelles variogramm;experimental variogram
expertensystem;expert system
exposition;aspect
extinktion;extinction
extranet;extranet
extrapolation;extrapolation
fachdaten;thematic data
fachinformationssystem;branch information system
fachplanung;sector planning
fachschale;application module
fadenkreuz;cursor
falschfarben;false color
faltung;convolution
fangradius;snap distance
fangraster;snap raster
farbaufnahme;colour photograph
farbbild;colour image
farbbildschirm;colour display
farbcodierung;colour coding
farbe;colour
farbenphotographie;colour photography
farbfilm;colour film
farbinfrarotbild;colour infrared image
farbmanagementsystem;color management system
farbmischung;colour mixing
farbmodell;colour model
farb-negativ-bild;colour negative
farbpalette;colour palette
farb-positiv-bild;colour positive
farbraum;color space
farbreduktion;colour reduction
farbseparation;color separation
farbskala;colour wedge
farbstufen;colour steps
farbsystem;colour system
farbtabelle;lookup-table (lut)
farbtiefe;colour depth
farbton;colour tone
färbung;hü
favoriten;bookmarks
fehler;error
fehlerfortpflanzung;error propagation
fehlergrenze für die darstellung der geländeoberfläche durch höhenlinien;error limit for the representation of the relief by means of contours
fehlermeldung;error message
fehlerschranke;error tolerance
fehlertolerante systeme;error tolerant system
feinkonzept;detailed concept
feld;array
feld;field
feldarbeiten;field work
feldbuch;field notebook
felddaten;ground truth
felderkundung;reconnaissance
feldmessung;reconnaissance survey
feldriss;field document
feldriss;field sheet
feldroboter;field roboter
feldskizze;field sketch
feldvergleich;field comparison
feldvergleich;field check
felsschraffen;rock hachures
felszeichnung;rock drawing
fenster;windows
fenstersystem;windowsysteme
fenstertechnik;windows techniqü
ferneinwahl;remote login
fernerkundung;remote sensing
fernerkundungsdaten;remotely sensed data
fernerkundungssensoren;remote sensing sensors
fernerkundungsverfahren;remote sensing procedures
fernstudienmaterialien geoinformatik;fergi
fernunterricht;teletaching
fernzugriff;remote access
festkommazahl;integer
festnetz;fixed network
festplatte;hard disk
festplattencontroller;disc controller
festplattenspiegelung;disk mirroring
festpunkt;control point
festpunktbeschreibung;control station description
festpunktfeld;network of control stations
festpunktkartei;control data sheet
festpunktkartei;geodetic data sheet
festpunktübersicht;control point overview
festpunktverdichtung;densification of survey control stations
festspeicher;hard disc
filter-operation;filter operation
filterung;filtering
finite-elemente-modellierung;finite element modeling
flachbettplotter;flatbed plotter
flachbettscanner;flatbed scanner
flachbildschirm;flatbed screen
fläche;area
flächenberechnung;area calculation
flächenkartogramm-methode;choropleth mapping
flächenmodell;surface model
flächennetz;surface network
flächennivellement;grid levelling
flächennutzungsplan;zoning plan
flächenpool;area pool
flächenpunkt;centroid
flächenschwerpunkt;centroid point
flächensignaturen;area signature
flächentreü abbildung;equivalent projection
flächenverschneidung;polygon overlay
flächenverzerrung;area distortion
fliesskommadarstellung;floating point representation
flottenmanagement;fleet management
flüchten;esc
flüchtige speicher;random storage
flugbahn;flight track
flughöhe;flying height
flugweg über grund;ground track
flugweg über grund;flight line above ground
flugzeugscanner;airborne scanner
flugzeug-seitensichtradar;side-looking airborne radar
flur;cadastral subfdistrict
flurbereinigung;land consolidation
flurbereinigung;remembrement
flurbereinigung;land redistribution
flurbereinigungsplan;land consolidation documentation
flurbereinigungsverfahren;land consolidation procedure
flurkarte;cadastral plan
flurkarte;property map
flurstück;parcel
flurstücksgrenze;parcel boundary
flurstücksverzeichnis;parcel directory
flussdiagramm;flow chart
flussdiagramm;flowchart
flüssigkristallanzeige;liquid cristal display
folie;layer
format;format
formatieren;formatting
formenplastik;relief plastic
formlinien;form lines
formzeichen;form signature
forstbetriebskarte;forestry organisation maps
forstwirtschaft;forestry economy
forstwirtschaftsplan;forestry development plan
fortführung von topographischen karten;revision of topographic maps
fortführungssatz;update set
fortführungsturnus;revision cycle
fortführungsvorlage;update draft
fortlaufend;seqüntiell
fourieranalyse;fourier analysis
fragmentierung;fragmentation
fraktale;fractal
fraktale dimension;fractal dimension
fraktale kompression;fractal compression
freies generalisieren;free generalisation
freigabe;release
freihandskizze;freehand sketch
freqünz;freqüncy
freqünzband;waveband
freqünzbereich;freqüncy range
freqünzdiagramm;freqüncy diagram
freqünzmodulation;freqüncy modulation
führungsinformationssystem;information system for higher management
führungssystem;guidance system
fundamentalpunkt;fundamental station
funknetzplanung;mobile net planning
funktion;function
funktionsverbund;functional union
fusion;fusion
gammakorrektur;gamma correction
gauss-krüger-koordinaten;gauss-krüger coordinates
gauss-krüger-projektion;gauss-krüger projection
gausssche konforme abbildung;gaussian conformal projection
ortsverzeichnis;gazetteer
gebäude;building
gebäudebeschreibung;property description
gebäudebeschreibung;descriptive schedule
gebäudeinformation;building information
gebäude-informationssystem;building information system
gebäudemanagement;building management
gebiet;zone
gebiet;area
gebiet;district
gebietsgliederung;census tracts
gebietsinformation;regional information
gebrauchsfähigkeit;usability
gebündelt;bundled
gefälle;slope
gefälle;incline
gefälle;falling gradient
gefällinie;slope line
gefällknick;break of slope
gefällknick;break in slope
gefällmesser;clinometer
geführter rundgang;guided tour
gegenseitige orientierung;relative orientation
gegenstrahlung;atmospheric radiation
geländeaufnahme;terrain survey
geländebedeckung;topographic features
geländebeobachtungen;ground truth
geländedarstellung;terrain representation
geländeformen;land forms
geländeformen;relief features
geländeformendarstellung;representation of the shape of the ground
geländehöhe;terrain height
geländekante;terrain edge
geländekroki;sketch of terrain
geländekunde;terrain description
geländelinien;terrain lines
geländemodell;terrain model
geländemodell;relief model
geländepunkte;terrain points
geländeschummerung;hillshading
geländeskizze;sketch of a panorama
geltungsbereich;allowed range
gemarkung;bounds
gemeindegebiet;community area
gemeindeverzeichnis;community directory
gemittelte daten;compacted data
genauigkeit;accuracy
genauigkeit der grundriss- und höhendarstellung;accuracy of ground and height representation
genauigkeit der zeitangaben;accuracy of time representation
generalisieren;generalization
generalisierung;generalisation
generatorprogramm;generator program
generierung;generating
generisch;generic
geobasisdaten;spatial base data
geobasisinformationen;spatial base information
geodäsie;geodesy
geodaten;spatial data
geodateninfrastruktur;geodata infrastructure
geodateninfrastruktur;spatial data infrastructure
geodateninfrastruktur nordrhein-westfalen;gdi-nrw
geodatenkatalog;spatial data catalogü
geodatenmanagement;geodata management
geodatenmarktteilnehmer;geodata market member
geodatenpreisbildung;geodata pricing
geodatensatz;geodata set
geodatenserver;geo data server
geodatenserver-datenbank;geodata server database
geodatenwarenhaus;spatial data warehouse
geodätische abbildung;geodetic projection
geodätische breite;geodetic latitude
geodätische hauptaufgaben;direct and inverse position computation
geodätische koordinaten;geodetic coordinates
geodätische länge;geodetic length
geodätische parallelkoordinaten;geodetic parallel coordinates
geodätische polarkoordinaten;geodetic polar coordinates
geodätisches bezugssystem;geodetic reference system
geodätisches datum;geodetic datum
geodätisches ellipsoid;geodetic ellipsoid
geodetic survey network;geodätisches netz
geofachdaten;spatial thematic data
geofaktoren;geographic factors
geographie;geography
geographische breite;geographic(al) latitude
geographische daten;geographic data
geographische datenbank;geographic data base
geographische koordinaten;geographic(al) coordinates
geographische länge;geographic(al) longitude
geographische visualisierung;geographic visualisation
geographische zugriffsrechte;spatial access rights
geographischer identifikator;spatial identificator
geographisches identifikationssystem;spatial identification system
geographisches informationssystem;geographical information system
geographisches informationssystem umwelt;geosum
geographisches objekt;geographic feature
geographisches verzeichnis;geographic directory
geographisch-nord;trü north
geoid;geoid
geoidhöhe;geoid height
geoidmodell;geoid model
geoidundulation;geoid undulation
geoinformation;spatial information
geo-informationssystem;geographic information system
geokode;geocode
geokodierung;geocoding
geologie;geology
geologische karten;geological maps
geomarketing;geomarketing
geomatik;geomatics
geometer;surveyor
geometrie;geometry
geometriedaten;geometric data
geometrische auflösung;spatial resolution
geometrische bildtransformation;geometric image transformation
geometrische grundform;geometric shape
geometrische primitive;geometric primitives
geometrische übereinstimmung;geometric equality
geometrisches modell;geometric model
geometrisches modellieren;geometric modeling
geometrisches nivellement;direct levelling
geomorphologie;geomorphology
geoobjekt;spatial object
geophysik;geophysics
geopolitische karten;geopolitical maps
georeferenzierung;georeferencing
georeferenzsystem;georeference system
georelationale konzeption;georelational schema
geosensornetzwerke;geo sensorn network
geosphäre;geo sphere
geostationär;geostationary
geostationärer satellit;geostationary satellite
geostatistik;geostatistics
geowissenschaften;earth sciences
geradenschnitt;intersection
gerät;device
geräteidentifikator;implement indicator
gerätekoordinate;device coordinate
gesamtstrahlungstemperatur;total radiation temperature
geschäftsgraphik;business graphics
geschäftsprozessmodell;business process model
geschichtskarte;historical map
geschlossener polygonzug;closed traverse
geschossflächenzahl;floor space index
geschosszahl;number of floors
geschummerte reliefkarte;shaded relief map
gesichtsfeld;field of view
gespeicherte prozeduren;stored procedures
gewährleistung;guarantee
gewässer;waters
gewässerkarten;hydrographic maps
gewässerkataster;hydrographic cadaster
gewässernetz;hydrography
gewässernetz;net of water courses
gewässerpflegepläne;hydrographic net management plans
gewässerstrukturkartierung;hydrographic structural mapping
gewerbegebiet;area zoned for economic activities
gewichtetes gleitendes mittel;weighted moving average
gewichtung;weighting
gewöhnliche abbildung;obliqü projection
gewöhnliche lage der abbildungsfläche;obliqü position of projection plane
gitterabweichung;grid deviation
gitterkoordinaten;grid coordinates
gitterkreuz;grid intersection
gitterlinie;grid line
gitternetz;grid
gitter-nord;grid north
gitterquadrate;grid quadrangles
gitter-referenz;grid reference
gitterwert;grid valü
gitterzelle;grid cell
glasfaser;glass fibre
glasfaserbasierende verkabelung;fibre glass cable
glätten;smoothing
glättung;weeding
gleichung;equation
gleitendes mittel;average mean
gleitkommazahl;floating point
gleitkommazahl;floating point
globales beleuchtungsmodell;global illumination model
globales dorf;global village
globales positionierungssystem;global positioning system
globalstrahlung;solar radiation
globus;globe
gnomonische projektion;gnomonic projection
gon;gon
gouraud-schattierung;gouraud-shading
gradabteilungskarte;quadrangle map
gradation;spectral sensitivity
gradient;gradient
gradientenanalyse;gradient analysis
gradnetz;graticule of a map
gradnetz;graticule
gradnetzentwurf;graticule network draft
gradnetzschablone;graticule template
graph;graph
graphentheorie;graph theory
graphisch bestimmter punkt;point fixed graphically
graphische benutzeroberfläche;graphical user interface
graphische darstellung statistischer auswertungen;graphical representation of statistical evaluations
graphische datenverarbeitung;graphical data processing
graphische kartierung;graphic mapping
graphische primitive;graphic primitives
graphische semiologie;graphic semiology
graphischer bildschirm;graphic display
graphisches kernsystem;graphics kernel system
grat;crest
grauschattierung;tone
graustufen;greyscale
grauwert;grey valü
grauwertbild;grey valü image
grauwertfilter;grey valü filter
gravitation;gravitation
greenwich-meridianebene;greenwich meridian plane
grenzen-kartenzeichen;boundary symbol
grenzpunkte;parcel border point
grenzstein;parcel mark
gridzelle;grid cell
grosse halbachse;large half axis of an ellipse
grosskreis;great circle
grosskreiskarte;great circle chart
grossmassstäbige karte;large scale map
grünanlage;green area
grundäquidistanz;basic equidistance
grundfarbe;primary colour
grundflächenzahl;site occupancy index
grundfreqünz;base freqünce
grundkarte;base map
grundkartenwerk;basic map series
grundkette;chain
grundlagenvermessung;basic surveying
grundmassstab;base scale
grundnetz;fundamental network
grundplatine;motherboard
grundriss;planimetric sketch
grundrissaufnahme;planimetric survey
grundrissdarstellung;planimetric representation
grundrisstreü;topographic planimetry
grundstücksbewertung;valuation of rating for parcels
grundstückswert;valü attributable to real property
grundstückswert;valü of the land
grundstückswertermittlung;parcel valü determination
grundwasser;ground water
